articleIndex,articleTitle,text
381,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"The Department will charge fees for the services provided pursuant to this Bylaw and 

these fees will be determined pursuant to a resolution of the Chairman."
378,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"The Division must notify the Competent Entities of the decision to suspend the Real 

Estate Broker’s activities and to cancel his registration. 

144144

Chapter Seven

Final Provisions"
393,Law No. (7) of 1997 Concerning Land Registration Fees; and,"of this Law, all electronically recorded Real Property 

documents and reports will have the same evidentiary value as the originals of such 

documents and reports.

Chapter Six

Registration"
283,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"Filing a claim to evict the Tenant does not exempt the Tenant from paying the Rent for the whole 

period during which the claim is considered, and until an award is rendered and executed."
227,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"1. A pre-emptive right may not be divided and therefore may only be exercised or 

waived in whole. In case of multiple co-Owners, each of them may exercise his pre-

9494

emptive right in proportion to his share, and if any of them waives his right, it will be 

transferred to the other co-Owners in proportion to their shares. 

2. A pre-emptive right will expire if the selling co-Owner serves on the other co-Owners, 

through the Notary Public, a notice which includes the name and address of the 

third-party buyer and the terms of sale, and if the said co-Owners fail to agree to 

such terms of sale within one (1) month after receipt of such notice. 

3. 

If a co-Owner agrees to buy the offered share, he must notify the selling co-

Owner of his intention through the Notary Public within fifteen (15) days of 

the date of receiving the sale notice and finalise the sale procedures with the 

Department within a maximum of ten (10) working days from the expiry of such 

notification period. 

4. 

If it is proved that the sale has been made under terms that are more favourable 

to the purchaser than those mentioned in the notice sent to the co-Owners having 

the pre-emptive right, such co-Owners will have the right to file, with the competent 

courts, claims for compensation for the damage they have suffered."
385,Law No. (7) of 1997 Concerning Land Registration Fees; and,"The following words and expressions, wherever mentioned in this Law, will have the 

meaning indicated opposite each of them, unless the context implies otherwise:

UAE: 

Emirate: 

The United Arab Emirates.

The Emirate of Dubai.

© 2014 The Government of Dubai Legal Affairs Department
(1) Every effort has been made to produce an accurate and complete English version of this legislation. However, 
for the purpose of its interpretation and application, reference must be made to the original Arabic text. In case of 
conflict the Arabic text will prevail.

148148

Government: 

The Government of Dubai including any of its departments, 

authorities, or public corporations.

Ruler: 

His Highness the Ruler of the Emirate of Dubai.

Department: 

The Land Department.

Chairman: 

The chairman of the Department.

Director General: 

The director general of the Department.

Real Property: 

Anything which is fixed and cannot be moved without damage 

Real Property Rights: Any principal or collateral rights in rem. 

or alteration of its structure.

Property Register: 

The documents kept in written or electronic format in an 

electronic record maintained by the Department in which the 

description and location of each real property and the rights 

related thereto are stated. 

Real Property Unit: 

Any land plot in a single Real Property Area, including any 

buildings, anything growing on or attached to it, without any part 

of the land plot being separated by any public or private property 

and without any part of the land plot being subject to rights 

or encumbrances other than those rights and encumbrances 

which apply to the whole.

Real Property Area: 

A set of Real Property Units demarcated by main roads or 

fixed and clear landmarks, having an approved name and a 

distinct number, in accordance with the regulations adopted by 

Person: 

Any natural or legal person.

the Department.

Chapter Two

Scope of Application and Right of Ownership

The provisions of this Law will apply to Real Property in the Emirate."
391,Law No. (7) of 1997 Concerning Land Registration Fees; and,"A Property Register will be maintained in the Department to record all Real Property Rights 

and any amendments thereto. This Property Register will have absolute evidentiary value 

against all parties and the validity of its data may not be impugned unless it is proven to 

be the result of fraud or forgery."
287,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"The awards relating to vacating the Real Property will be executed through the Tribunal and 

pursuant to the rules and procedures issued in this respect. Apart from such awards, other 

awards issued by the Tribunal will be executed by the Execution Section of Dubai Courts."
116,Law No. (3) of 2003 Establishing the Executive Council of the Emirate of Dubai;,Law No. (3) of 2003 Establishing the Executive Council of the Emirate of Dubai;
377,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,of this Bylaw.
412,Law No. (7) of 1997 Concerning Land Registration Fees; and,"1. Any agreement or disposition in breach of the provisions of this Law will be null and 

void. Likewise, any agreement or disposition made with the intention of circumventing 

the provisions of this Law will be deemed null and void. 

2. The invalidity of such an agreement or disposition may be invoked before the court 

by any interested party, the Department, the Public Prosecution, or otherwise ordered 

by the court on its own initiative. 

155155"
402,Law No. (7) of 1997 Concerning Land Registration Fees; and,"If a servient Real Property Unit is divided, any existing easement rights will continue for 

each resulting part. However, if the easement right is not used over some parts, or if it is 

not possible to use it over some parts, the owner of each part thereof may apply to the 

Department, in accordance with the provisions of this Law, to extinguish the easement 

153153

right in respect of his part."
368,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"A Real Estate Broker will be entitled to remuneration paid by the party that appoints him 

to conclude the transaction, and if the Real Estate Broker is appointed by both parties, 

each party will be severally liable to pay his own share of the remuneration even if they 

agree that one of them will incur the Real Estate Broker’s remuneration in full.

Chapter Five

Settlement of Disputes"
299,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"of this Law, RERA may, at its discretion, transfer 

any of the Department’s employees working in real estate regulation."
166,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai,"The judgement rendered by the Tribunal will be final, irrevocable, and not subject to 

appeal, and will be executed by the Execution Department of Dubai Courts.

Subject to the provisions of this Decree, the Tribunal will exercise its powers in"
273,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"Unless the Lease Contract states otherwise, the Tenant must pay all fees and taxes due 

to Government entities and departments for use of the Real Property as well as any fees 

or taxes prescribed for any sub-lease."
